BufferSize; BlockSize; Velocity
262144; 256; 8608008
262144; 512; 18355494
262144; 1024; 39387574
262144; 2048; 65209950
262144; 4096; 133203252
262144; 8192; 249304802
262144; 16384; 418092503
262144; 32768; 702798927
262144; 65536; 726160664
524288; 256; 9651307
524288; 512; 17600053
524288; 1024; 36582911
524288; 2048; 69608072
524288; 4096; 131006496
524288; 8192; 263395126
524288; 16384; 507784987
524288; 32768; 849737439
524288; 65536; 1401839572
524288; 131072; 1493698005
1048576; 256; 9256742
1048576; 512; 17674664
1048576; 1024; 37711778
1048576; 2048; 74182950
1048576; 4096; 137545222
1048576; 8192; 239811549
1048576; 16384; 412987790
1048576; 32768; 845625806
1048576; 65536; 1378798159
1048576; 131072; 1949026022
1048576; 262144; 2563755501
2097152; 256; 9295433
2097152; 512; 18328944
2097152; 1024; 35122585
2097152; 2048; 74173766
2097152; 4096; 144377267
2097152; 8192; 273369223
2097152; 16384; 480502233
2097152; 32768; 838693061
2097152; 65536; 1330258166
2097152; 131072; 2006844019
2097152; 262144; 2688656410
2097152; 524288; 2086718407
4194304; 256; 9289730
4194304; 512; 17788680
4194304; 1024; 36928516
4194304; 2048; 71541580
4194304; 4096; 146255108
4194304; 8192; 265638810
4194304; 16384; 432469350
4194304; 32768; 733783065
4194304; 65536; 1409613174
4194304; 131072; 2197121005
4194304; 262144; 2417466282
4194304; 524288; 2318576008
4194304; 1048576; 2069728102
8388608; 256; 9076698
8388608; 512; 17745780
8388608; 1024; 35473326
8388608; 2048; 69322469
8388608; 4096; 133424651
8388608; 8192; 227238097
8388608; 16384; 449586408
8388608; 32768; 780444527
8388608; 65536; 1269366422
8388608; 131072; 1916738946
8388608; 262144; 2814969127
8388608; 524288; 3070500732
8388608; 1048576; 2897619343
8388608; 2097152; 1897231256
16777216; 256; 9064228
16777216; 512; 17942692
16777216; 1024; 36335988
16777216; 2048; 70989129
16777216; 4096; 133506405
16777216; 8192; 251364771
16777216; 16384; 422770285
16777216; 32768; 656822456
16777216; 65536; 1130197446
16777216; 131072; 1702924888
16777216; 262144; 2217741705
16777216; 524288; 2838304178
16777216; 1048576; 2520047465
16777216; 2097152; 2269031106
16777216; 4194304; 2231012765
33554432; 256; 9128067
33554432; 512; 17765986
33554432; 1024; 34049287
33554432; 2048; 63550662
33554432; 4096; 114769369
33554432; 8192; 196018413
33554432; 16384; 339815804
33554432; 32768; 563831057
33554432; 65536; 787875412
33554432; 131072; 1057448655
33554432; 262144; 1312668492
33554432; 524288; 1334304881
33554432; 1048576; 1407159925
33554432; 2097152; 1124063917
33554432; 4194304; 1139350163
33554432; 8388608; 1167394913
67108864; 256; 9150899
67108864; 512; 17842455
67108864; 1024; 34225290
67108864; 2048; 63554454
67108864; 4096; 112477512
67108864; 8192; 200081882
67108864; 16384; 359176326
67108864; 32768; 577914392
67108864; 65536; 780766865
67108864; 131072; 1066820293
67108864; 262144; 1346904916
67108864; 524288; 1273050630
67108864; 1048576; 1422687145
67108864; 2097152; 1296226065
67108864; 4194304; 1258511439
67108864; 8388608; 1446405241
67108864; 16777216; 1238102392
134217728; 256; 9148102
134217728; 512; 17896343
134217728; 1024; 34198505
134217728; 2048; 64348614
134217728; 4096; 115376959
134217728; 8192; 206058783
134217728; 16384; 361848927
134217728; 32768; 573854699
134217728; 65536; 796563289
134217728; 131072; 1111119897
134217728; 262144; 1319929862
134217728; 524288; 1319826026
134217728; 1048576; 1500276407
134217728; 2097152; 1263451610
134217728; 4194304; 1379102756
134217728; 8388608; 1486979326
134217728; 16777216; 1472177954
134217728; 33554432; 1409916729
268435456; 256; 9128145
268435456; 512; 18043868
268435456; 1024; 35100276
268435456; 2048; 64190752
268435456; 4096; 114050686
268435456; 8192; 207782176
268435456; 16384; 362776108
268435456; 32768; 585580045
268435456; 65536; 808144977
268435456; 131072; 1154879003
268435456; 262144; 1374688666
268435456; 524288; 1567208885
268435456; 1048576; 1515869383
268435456; 2097152; 1343151064
268435456; 4194304; 1415421820
268435456; 8388608; 1521721381
268435456; 16777216; 1514330113
268435456; 33554432; 1625020164
268435456; 67108864; 1491987772
Threaded CSV generated with success
